episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
132,720.0,652,81199,0.1,0.10526079079993297,318.2561865419848,True,False
133,1090.0,898,82097,0.1,0.09545986109723648,323.48624191695126,True,False
134,710.0,767,82864,0.1,0.08916586122359149,327.0750189999817,True,False
135,470.0,483,83347,0.1,0.0844000953870515,328.7706697919639,True,False
136,540.0,588,83935,0.1,0.08426441331425695,330.9298652499565,True,False
137,550.0,716,84651,0.1,0.08602572152359858,333.489254666958,True,False
138,490.0,856,85507,0.1,0.09401896659493725,337.0748942499631,True,False
139,650.0,620,86127,0.1,0.10013437873773998,339.49792070896365,True,False
140,270.0,368,86495,0.1,0.11492702083500184,340.83684887498384,True,False
141,380.0,475,86970,0.1,0.12937834356449732,342.530771583959,True,False
142,900.0,1042,88012,0.1,0.10156129125034673,346.24239895900246,True,False
143,300.0,354,88366,0.1,0.09997561031063511,347.51446033397224,True,False
144,730.0,705,89071,0.1,0.09156006878898056,350.0151574999909,True,False
145,660.0,570,89641,0.1,0.11609360527481649,352.04795108397957,True,False
146,1380.0,845,90486,0.1,0.10266199829365828,355.0323454589816,True,False
147,320.0,435,90921,0.1,0.1460815773029393,356.59126533399103,True,False
148,860.0,993,91914,0.1,0.11002532819346074,360.0899806249654,True,False
149,490.0,453,92367,0.1,0.10555596341403713,361.74713962496025,True,False
150,860.0,553,92920,0.1,0.11166151504454425,364.14986420900095,True,False
151,520.0,424,93344,0.1,0.09885350324846101,366.6611862499849,True,False
152,290.0,305,93649,0.1,0.15728668013195457,367.85142674995586,True,False
153,800.0,669,94318,0.1,0.1272973411655176,370.2859163749963,True,False
154,720.0,674,94992,0.1,0.11917580629991004,372.68388549995143,True,False
155,330.0,516,95508,0.1,0.11364611420173977,374.518786333967,True,False
156,820.0,602,96110,0.1,0.14422138220941028,376.63469920895295,True,False
157,460.0,463,96573,0.1,0.12193265849531724,378.29272620897973,True,False
158,840.0,778,97351,0.1,0.1458296634775308,381.0702138749766,True,False
159,560.0,567,97918,0.1,0.11969850920665433,383.16079091699794,True,False
160,350.0,429,98347,0.1,0.1319239309283896,384.706514208985,True,False
161,380.0,461,98808,0.1,0.13737019196409603,386.3849394999561,True,False
162,860.0,623,99431,0.1,0.12439007283218445,388.6139480419806,True,False
163,440.0,421,99852,0.1,0.1450921013283561,390.1418076249538,True,False
164,720.0,617,100469,0.1,0.15268245209976064,392.33080470899586,True,False
165,1490.0,786,101255,0.1,0.1303178400409465,395.1904259999865,True,False
166,670.0,692,101947,0.1,0.12243646129190577,397.7204399589682,True,False
167,1550.0,804,102751,0.1,0.1044081803179573,400.6172394999885,True,False
168,820.0,753,103504,0.1,0.11001922216798578,403.30584437499056,True,False
169,750.0,653,104157,0.1,0.10583060221072355,405.63375966699095,True,False
170,860.0,665,104822,0.1,0.11571167588952076,408.0124923340045,True,False
171,590.0,637,105459,0.1,0.10365717871548058,410.29275070899166,True,False
172,1170.0,629,106088,0.1,0.10607487068193246,412.5523278749897,True,False
173,620.0,521,106609,0.1,0.12383083158101027,414.4209283340024,True,False
174,490.0,567,107176,0.1,0.10976167963686544,416.4574994999566,True,False
175,370.0,427,107603,0.1,0.10698669604113642,417.98110608395655,True,False
176,630.0,530,108133,0.1,0.09596819955071337,420.88678387500113,True,False
177,780.0,685,108818,0.1,0.12636088101705265,423.3148332089768,True,False
178,1050.0,942,109760,0.1,0.13560116304463501,426.6604389589629,True,False
179,840.0,571,110331,0.1,0.11286973826010042,429.10432474996196,True,False
180,340.0,414,110745,0.1,0.12305562053090678,430.6477612919989,True,False
181,640.0,658,111403,0.1,0.14795006933145044,433.1125392919639,True,False
182,350.0,372,111775,0.1,0.12762095386623054,434.49894324998604,True,False
183,720.0,639,112414,0.1,0.1424325786763802,436.78875454195077,True,False
184,400.0,464,112878,0.1,0.11768337957368329,438.4607548749773,True,False
